timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 21:47:35,0.01%,296.3MiB / 7.549GiB,3.83%,70.9MB / 60.4MB,0B / 0B
2025-07-11 21:47:47,56.86%,394.4MiB / 7.549GiB,5.10%,71.6MB / 61MB,0B / 0B
2025-07-11 21:47:59,93.09%,789.3MiB / 7.549GiB,10.21%,73.4MB / 62.6MB,0B / 0B
2025-07-11 21:48:10,156.23%,1.188GiB / 7.549GiB,15.74%,76.5MB / 65.2MB,0B / 0B
2025-07-11 21:48:22,207.90%,1.59GiB / 7.549GiB,21.07%,80.6MB / 68.7MB,0B / 0B
2025-07-11 21:48:34,224.14%,2.015GiB / 7.549GiB,26.69%,86.1MB / 73.4MB,0B / 0B
2025-07-11 21:48:46,288.49%,2.16GiB / 7.549GiB,28.62%,92.2MB / 78.6MB,0B / 0B
2025-07-11 21:48:57,406.90%,2.173GiB / 7.549GiB,28.79%,98.4MB / 83.9MB,0B / 0B
2025-07-11 21:49:09,369.46%,2.174GiB / 7.549GiB,28.79%,104MB / 89MB,0B / 0B
2025-07-11 21:49:21,323.86%,2.174GiB / 7.549GiB,28.80%,110MB / 94MB,0B / 0B
2025-07-11 21:49:32,331.12%,2.174GiB / 7.549GiB,28.80%,116MB / 99.1MB,0B / 0B
2025-07-11 21:49:45,354.03%,2.173GiB / 7.549GiB,28.79%,122MB / 104MB,0B / 0B
2025-07-11 21:49:56,180.60%,2.174GiB / 7.549GiB,28.80%,128MB / 109MB,0B / 0B
2025-07-11 21:50:08,318.21%,2.175GiB / 7.549GiB,28.81%,135MB / 115MB,0B / 0B
2025-07-11 21:50:20,390.36%,2.175GiB / 7.549GiB,28.81%,141MB / 120MB,0B / 0B
2025-07-11 21:50:31,282.21%,2.175GiB / 7.549GiB,28.81%,147MB / 125MB,0B / 0B
2025-07-11 21:50:44,191.83%,2.174GiB / 7.549GiB,28.80%,153MB / 130MB,0B / 0B
2025-07-11 21:50:55,243.70%,2.064GiB / 7.549GiB,27.34%,158MB / 134MB,0B / 0B
2025-07-11 21:51:07,128.28%,1.768GiB / 7.549GiB,23.42%,162MB / 138MB,0B / 0B
2025-07-11 21:51:19,80.68%,1.446GiB / 7.549GiB,19.15%,164MB / 140MB,0B / 0B
2025-07-11 21:51:30,56.89%,1.15GiB / 7.549GiB,15.23%,166MB / 141MB,0B / 0B
2025-07-11 21:51:42,0.44%,846.9MiB / 7.549GiB,10.96%,166MB / 141MB,0B / 0B
2025-07-11 21:51:54,0.88%,544.1MiB / 7.549GiB,7.04%,166MB / 141MB,0B / 0B
