timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 20:27:48,0.00%,56.04MiB / 7.549GiB,0.72%,48.3kB / 44.5kB,0B / 0B
2025-07-11 20:28:00,9.26%,107.6MiB / 7.549GiB,1.39%,591kB / 532kB,0B / 0B
2025-07-11 20:28:11,19.74%,189MiB / 7.549GiB,2.45%,2.36MB / 2.03MB,0B / 0B
2025-07-11 20:28:23,33.33%,269.1MiB / 7.549GiB,3.48%,5.38MB / 4.59MB,0B / 0B
2025-07-11 20:28:34,35.10%,347.9MiB / 7.549GiB,4.50%,9.51MB / 8.09MB,0B / 0B
2025-07-11 20:28:46,42.80%,431.6MiB / 7.549GiB,5.58%,14.9MB / 12.7MB,0B / 0B
2025-07-11 20:28:57,46.22%,460.4MiB / 7.549GiB,5.96%,21.2MB / 18MB,0B / 0B
2025-07-11 20:29:09,48.46%,461MiB / 7.549GiB,5.96%,27.5MB / 23.3MB,0B / 0B
2025-07-11 20:29:21,54.41%,461.4MiB / 7.549GiB,5.97%,33.8MB / 28.7MB,0B / 0B
2025-07-11 20:29:32,55.81%,461MiB / 7.549GiB,5.96%,40.1MB / 34MB,0B / 0B
2025-07-11 20:29:44,67.31%,461.5MiB / 7.549GiB,5.97%,46.2MB / 39.3MB,0B / 0B
2025-07-11 20:29:55,63.82%,461.4MiB / 7.549GiB,5.97%,52.5MB / 44.6MB,0B / 0B
2025-07-11 20:30:07,47.39%,461.8MiB / 7.549GiB,5.97%,58.8MB / 49.9MB,0B / 0B
2025-07-11 20:30:18,58.55%,461.6MiB / 7.549GiB,5.97%,65.1MB / 55.2MB,0B / 0B
2025-07-11 20:30:30,48.20%,462.1MiB / 7.549GiB,5.98%,71.3MB / 60.5MB,0B / 0B
2025-07-11 20:30:41,51.27%,462MiB / 7.549GiB,5.98%,77.5MB / 65.7MB,0B / 0B
2025-07-11 20:30:53,51.91%,462MiB / 7.549GiB,5.98%,83.9MB / 71.1MB,0B / 0B
2025-07-11 20:31:05,29.30%,453.1MiB / 7.549GiB,5.86%,89.1MB / 75.5MB,0B / 0B
2025-07-11 20:31:16,29.23%,391.2MiB / 7.549GiB,5.06%,93.3MB / 79.1MB,0B / 0B
2025-07-11 20:31:28,20.28%,332.8MiB / 7.549GiB,4.31%,96.2MB / 81.6MB,0B / 0B
2025-07-11 20:31:39,8.51%,269.3MiB / 7.549GiB,3.48%,97.9MB / 83MB,0B / 0B
2025-07-11 20:31:51,0.78%,210.7MiB / 7.549GiB,2.73%,98.4MB / 83.5MB,0B / 0B
2025-07-11 20:32:02,0.92%,147.2MiB / 7.549GiB,1.90%,98.4MB / 83.5MB,0B / 0B
