timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-12 08:09:20,0.76%,285.8MiB / 7.549GiB,3.70%,102MB / 95.8MB,0B / 0B
2025-07-12 08:09:32,10.31%,287.9MiB / 7.549GiB,3.72%,102MB / 96.3MB,0B / 0B
2025-07-12 08:09:43,11.06%,287.3MiB / 7.549GiB,3.72%,104MB / 97.8MB,0B / 0B
2025-07-12 08:09:55,22.73%,284.6MiB / 7.549GiB,3.68%,107MB / 100MB,0B / 0B
2025-07-12 08:10:06,25.10%,285.2MiB / 7.549GiB,3.69%,111MB / 104MB,0B / 0B
2025-07-12 08:10:18,26.64%,284.2MiB / 7.549GiB,3.68%,116MB / 108MB,0B / 0B
2025-07-12 08:10:29,32.07%,287.9MiB / 7.549GiB,3.72%,123MB / 113MB,0B / 0B
2025-07-12 08:10:41,25.32%,288.1MiB / 7.549GiB,3.73%,129MB / 118MB,0B / 0B
2025-07-12 08:10:53,28.93%,288.4MiB / 7.549GiB,3.73%,135MB / 123MB,0B / 0B
2025-07-12 08:11:04,27.77%,284.2MiB / 7.549GiB,3.68%,141MB / 128MB,0B / 0B
2025-07-12 08:11:16,28.67%,284.1MiB / 7.549GiB,3.67%,147MB / 132MB,0B / 0B
2025-07-12 08:11:27,31.84%,284.5MiB / 7.549GiB,3.68%,153MB / 138MB,0B / 0B
2025-07-12 08:11:39,25.61%,284.7MiB / 7.549GiB,3.68%,159MB / 142MB,0B / 0B
2025-07-12 08:11:50,31.88%,284.6MiB / 7.549GiB,3.68%,165MB / 147MB,0B / 0B
2025-07-12 08:12:02,25.09%,284.7MiB / 7.549GiB,3.68%,171MB / 152MB,0B / 0B
2025-07-12 08:12:14,29.83%,280.6MiB / 7.549GiB,3.63%,177MB / 157MB,0B / 0B
2025-07-12 08:12:25,21.46%,280.4MiB / 7.549GiB,3.63%,183MB / 162MB,0B / 0B
2025-07-12 08:12:37,25.23%,280.1MiB / 7.549GiB,3.62%,189MB / 166MB,0B / 0B
2025-07-12 08:12:48,15.65%,279.5MiB / 7.549GiB,3.62%,192MB / 169MB,0B / 0B
2025-07-12 08:13:00,12.87%,280MiB / 7.549GiB,3.62%,195MB / 172MB,0B / 0B
2025-07-12 08:13:11,9.12%,279.7MiB / 7.549GiB,3.62%,197MB / 173MB,0B / 0B
2025-07-12 08:13:23,0.87%,276.7MiB / 7.549GiB,3.58%,197MB / 173MB,0B / 0B
2025-07-12 08:13:35,2.11%,275.6MiB / 7.549GiB,3.57%,197MB / 173MB,0B / 0B
