timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 22:56:28,0.00%,88.51MiB / 7.549GiB,1.14%,108MB / 90.5MB,0B / 0B
2025-07-11 22:56:40,5.42%,88.7MiB / 7.549GiB,1.15%,108MB / 90.7MB,0B / 0B
2025-07-11 22:56:52,16.73%,88.93MiB / 7.549GiB,1.15%,110MB / 92MB,0B / 0B
2025-07-11 22:57:03,22.12%,88.95MiB / 7.549GiB,1.15%,113MB / 94.2MB,0B / 0B
2025-07-11 22:57:16,31.18%,89.03MiB / 7.549GiB,1.15%,117MB / 97.6MB,0B / 0B
2025-07-11 22:57:27,43.15%,89.13MiB / 7.549GiB,1.15%,122MB / 102MB,0B / 0B
2025-07-11 22:57:40,42.03%,89.75MiB / 7.549GiB,1.16%,128MB / 107MB,0B / 0B
2025-07-11 22:57:51,51.77%,89.35MiB / 7.549GiB,1.16%,135MB / 113MB,0B / 0B
2025-07-11 22:58:03,60.56%,89.24MiB / 7.549GiB,1.15%,142MB / 118MB,0B / 0B
2025-07-11 22:58:15,52.67%,90.35MiB / 7.549GiB,1.17%,148MB / 123MB,0B / 0B
2025-07-11 22:58:26,50.61%,90.4MiB / 7.549GiB,1.17%,155MB / 129MB,0B / 0B
2025-07-11 22:58:38,51.50%,90.07MiB / 7.549GiB,1.17%,161MB / 134MB,0B / 0B
2025-07-11 22:58:50,49.80%,90.46MiB / 7.549GiB,1.17%,168MB / 140MB,0B / 0B
2025-07-11 22:59:02,52.30%,88.18MiB / 7.549GiB,1.14%,174MB / 145MB,0B / 0B
2025-07-11 22:59:13,55.58%,91.95MiB / 7.549GiB,1.19%,181MB / 150MB,0B / 0B
2025-07-11 22:59:26,50.40%,89.92MiB / 7.549GiB,1.16%,188MB / 156MB,0B / 0B
2025-07-11 22:59:37,48.49%,89.7MiB / 7.549GiB,1.16%,194MB / 161MB,0B / 0B
2025-07-11 22:59:50,41.89%,89.3MiB / 7.549GiB,1.16%,200MB / 166MB,0B / 0B
2025-07-11 23:00:01,30.01%,84.97MiB / 7.549GiB,1.10%,205MB / 170MB,0B / 0B
2025-07-11 23:00:13,21.38%,84.71MiB / 7.549GiB,1.10%,208MB / 173MB,0B / 0B
2025-07-11 23:00:25,10.82%,86.91MiB / 7.549GiB,1.12%,210MB / 175MB,0B / 0B
2025-07-11 23:00:37,1.03%,86.38MiB / 7.549GiB,1.12%,211MB / 175MB,0B / 0B
2025-07-11 23:00:48,0.01%,86.28MiB / 7.549GiB,1.12%,211MB / 175MB,0B / 0B
