timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-12 08:57:46,1.43%,862.8MiB / 7.549GiB,11.16%,5.17MB / 5.72MB,0B / 0B
2025-07-12 08:57:57,8.02%,879.2MiB / 7.549GiB,11.37%,5.82MB / 6.25MB,0B / 0B
2025-07-12 08:58:09,16.44%,888MiB / 7.549GiB,11.49%,7.68MB / 7.74MB,0B / 0B
2025-07-12 08:58:21,20.82%,892.8MiB / 7.549GiB,11.55%,10.7MB / 10.2MB,0B / 0B
2025-07-12 08:58:32,27.95%,903.4MiB / 7.549GiB,11.69%,14.9MB / 13.6MB,0B / 0B
2025-07-12 08:58:44,30.04%,910.2MiB / 7.549GiB,11.77%,20.2MB / 17.9MB,0B / 0B
2025-07-12 08:58:56,27.81%,919.1MiB / 7.549GiB,11.89%,26.3MB / 22.8MB,0B / 0B
2025-07-12 08:59:07,29.90%,927.1MiB / 7.549GiB,11.99%,32.5MB / 27.8MB,0B / 0B
2025-07-12 08:59:19,28.59%,932.1MiB / 7.549GiB,12.06%,38.6MB / 32.7MB,0B / 0B
2025-07-12 08:59:30,30.62%,934.4MiB / 7.549GiB,12.09%,44.8MB / 37.6MB,0B / 0B
2025-07-12 08:59:42,26.42%,942.4MiB / 7.549GiB,12.19%,50.9MB / 42.6MB,0B / 0B
2025-07-12 08:59:53,28.24%,946.7MiB / 7.549GiB,12.25%,57MB / 47.5MB,0B / 0B
2025-07-12 09:00:05,33.11%,952.9MiB / 7.549GiB,12.33%,63.3MB / 52.5MB,0B / 0B
2025-07-12 09:00:16,27.56%,959.5MiB / 7.549GiB,12.41%,69.4MB / 57.5MB,0B / 0B
2025-07-12 09:00:28,38.03%,959.2MiB / 7.549GiB,12.41%,75.6MB / 62.5MB,0B / 0B
2025-07-12 09:00:40,30.18%,959.3MiB / 7.549GiB,12.41%,81.7MB / 67.4MB,0B / 0B
2025-07-12 09:00:51,37.33%,953.2MiB / 7.549GiB,12.33%,87.8MB / 72.3MB,0B / 0B
2025-07-12 09:01:03,21.60%,961.3MiB / 7.549GiB,12.44%,92.9MB / 76.4MB,0B / 0B
2025-07-12 09:01:14,19.02%,961.2MiB / 7.549GiB,12.43%,96.8MB / 79.5MB,0B / 0B
2025-07-12 09:01:26,11.15%,961.1MiB / 7.549GiB,12.43%,99.5MB / 81.7MB,0B / 0B
2025-07-12 09:01:37,10.09%,961.1MiB / 7.549GiB,12.43%,101MB / 83MB,0B / 0B
2025-07-12 09:01:49,0.45%,962.9MiB / 7.549GiB,12.46%,102MB / 83.3MB,0B / 0B
2025-07-12 09:02:00,1.28%,962.9MiB / 7.549GiB,12.46%,102MB / 83.3MB,0B / 0B
