timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 23:16:43,0.10%,15.72MiB / 7.549GiB,0.20%,40.7kB / 39.6kB,0B / 0B
2025-07-11 23:16:54,0.42%,16.72MiB / 7.549GiB,0.22%,731kB / 733kB,0B / 0B
2025-07-11 23:17:08,0.73%,16.66MiB / 7.549GiB,0.22%,2.17MB / 2.18MB,0B / 0B
2025-07-11 23:17:19,0.70%,16.96MiB / 7.549GiB,0.22%,4.34MB / 4.35MB,0B / 0B
2025-07-11 23:17:31,1.06%,17.03MiB / 7.549GiB,0.22%,7.26MB / 7.28MB,0B / 0B
2025-07-11 23:17:43,1.05%,17.09MiB / 7.549GiB,0.22%,10.9MB / 10.9MB,0B / 0B
2025-07-11 23:17:55,1.11%,16.72MiB / 7.549GiB,0.22%,14.8MB / 14.9MB,0B / 0B
2025-07-11 23:18:07,1.05%,16.87MiB / 7.549GiB,0.22%,18.7MB / 18.8MB,0B / 0B
2025-07-11 23:18:18,1.07%,16.74MiB / 7.549GiB,0.22%,22.6MB / 22.7MB,0B / 0B
2025-07-11 23:18:30,1.24%,16.89MiB / 7.549GiB,0.22%,26.5MB / 26.6MB,0B / 0B
2025-07-11 23:18:42,1.04%,17.01MiB / 7.549GiB,0.22%,30.4MB / 30.5MB,0B / 0B
2025-07-11 23:18:54,1.32%,16.75MiB / 7.549GiB,0.22%,34.4MB / 34.5MB,0B / 0B
2025-07-11 23:19:05,1.01%,17MiB / 7.549GiB,0.22%,38.2MB / 38.3MB,0B / 0B
2025-07-11 23:19:18,1.39%,16.99MiB / 7.549GiB,0.22%,42.2MB / 42.3MB,0B / 0B
2025-07-11 23:19:29,1.07%,16.89MiB / 7.549GiB,0.22%,46MB / 46.2MB,0B / 0B
2025-07-11 23:19:41,1.03%,17MiB / 7.549GiB,0.22%,49.9MB / 50.1MB,0B / 0B
2025-07-11 23:19:53,0.77%,17.02MiB / 7.549GiB,0.22%,53.5MB / 53.7MB,0B / 0B
2025-07-11 23:20:05,0.98%,16.88MiB / 7.549GiB,0.22%,56.6MB / 56.8MB,0B / 0B
2025-07-11 23:20:17,0.43%,16.88MiB / 7.549GiB,0.22%,58.8MB / 59MB,0B / 0B
2025-07-11 23:20:29,0.30%,16.99MiB / 7.549GiB,0.22%,60.2MB / 60.4MB,0B / 0B
2025-07-11 23:20:40,0.13%,17.11MiB / 7.549GiB,0.22%,61MB / 61.2MB,0B / 0B
2025-07-11 23:20:53,0.00%,16.62MiB / 7.549GiB,0.22%,61.1MB / 61.3MB,0B / 0B
2025-07-11 23:21:04,0.00%,16.61MiB / 7.549GiB,0.21%,61.1MB / 61.3MB,0B / 0B
